"Story","Title","Result","Date","Stability","Duration (s)"
"Como usuario quiero","Ingresar al a la pagina 2","PENDING","2023-06-26T11:08:19.2816755-05:00[America/Bogota]","0.0","0.04"
"Como usuario quiero","Ingresar a la pagina demo QA","SUCCESS","2023-07-06T14:11:02.987179-05:00[America/Bogota]","0.0","43.81"
