"Story","Title","Result","Date","Stability","Duration (s)"
"Como usuario quiero","Ingresar al a la pagina 2","PENDING","2023-06-26T11:08:19.2816755-05:00[America/Bogota]","0.0","0.04"
"Como usuario quiero","Ingresar al a la pagina","PENDING","2023-07-04T23:54:45.7749015-05:00[America/Bogota]","0.0","19.57"
