"Story","Title","Result","Date","Stability","Duration (s)"
"Como usuario quiero","Ingresar al a la pagina","PENDING","2023-07-04T23:54:45.7749015-05:00[America/Bogota]","0.0","19.57"
"Como usuario quiero","Ingresar a la pagina","SUCCESS","2023-07-05T09:10:12.1908719-05:00[America/Bogota]","0.0","35.13"
